"","Year","Mean_Citations","Research_Types","Papers_Published"
"889",2017,38,"Clinical",2
"890",2017,39,"Basic",3
"891",2017,40,"Clinical",2
"892",2017,41,"Clinical",1
"893",2017,42,"Clinical",1
"894",2017,46,"Clinical",1
"895",2017,49,"Basic",2
"896",2017,51,"Basic",1
"897",2017,51,"Clinical",1
"898",2017,54,"Clinical",2
"899",2017,55,"Clinical",1
"900",2017,56,"Clinical",1
"901",2017,58,"Basic",1
"902",2017,58,"Clinical",1
"903",2017,59,"Clinical",1
"904",2017,61,"Clinical",2
"905",2017,66,"Clinical",1
"906",2017,70,"Clinical",1
"907",2017,71,"Clinical",2
"908",2017,75,"Clinical",1
"909",2017,76,"Clinical",1
"910",2017,77,"Basic",1
"911",2017,84,"Basic",1
"912",2017,97,"Basic",1
"913",2017,105,"Clinical",2
"914",2017,107,"Clinical",1
"915",2017,110,"Clinical",1
"916",2017,118,"Clinical",1
"917",2017,128,"Clinical",1
"918",2017,136,"Clinical",1
"919",2017,139,"Basic",1
"920",2017,142,"Basic",1
"921",2017,155,"Basic",1
"922",2017,160,"Clinical",1
"923",2017,208,"Clinical",1
"924",2017,209,"Clinical",1
