"","Institution","Historically_Adv_Disav","Number_of_Articles"
"1","ANPL","Advantage",1
"2","UCT","Advantage",244
"3","UCTMS","Advantage",1
"4","UWC","Disadvantage",8
"5","UWMS","Advantage",6
"6","UWW","Advantage",192
"7","UWW","Disadvantage",1
